,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
447,Axel Tuanzebe,COD,DF,Ipswich Town,27-033,1997,9,9,770,8.6,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,4,20,3,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
448,Destiny Udogie,ITA,DF,Tottenham,22-019,2002,16,16,1301,14.5,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.5,36,86,75,0.00,0.07,0.07,0.00,0.07,0.02,0.08,0.10,0.02,0.10
449,Manuel Ugarte Ribeiro,URU,MF,Manchester Utd,23-250,2001,11,6,596,6.6,0,0,0,0,0,0,3,0,0.0,0.0,0.5,0.6,7,21,7,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09
450,Lesley Ugochukwu,FRA,MF,Southampton,20-266,2004,6,2,211,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,5,3,1,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17
451,Enes Ünal,TUR,"FW,MF",Bournemouth,27-221,1997,13,1,225,2.5,2,1,3,2,0,0,1,0,2.2,2.2,0.2,2.4,4,8,14,0.80,0.40,1.20,0.80,1.20,0.88,0.09,0.97,0.88,0.97
452,Virgil van Dijk,NED,DF,Liverpool,33-162,1991,15,15,1350,15.0,1,1,2,1,0,0,1,0,0.9,0.9,0.3,1.2,4,61,2,0.07,0.07,0.13,0.07,0.13,0.06,0.02,0.08,0.06,0.08
453,Jamie Vardy,ENG,FW,Leicester City,37-341,1987,15,15,1191,13.2,6,3,9,5,1,1,4,0,4.7,3.9,2.0,5.9,14,13,50,0.45,0.23,0.68,0.38,0.60,0.36,0.15,0.50,0.30,0.44
454,Renato Veiga,POR,"DF,MF",Chelsea,21-141,2003,7,1,181,2.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,4,7,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
455,Joël Veltman,NED,DF,Brighton,32-337,1992,11,11,956,10.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,19,34,18,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
456,Micky van de Ven,NED,DF,Tottenham,23-242,2001,9,9,788,8.8,0,2,2,0,0,0,4,0,0.4,0.4,1.2,1.5,8,43,1,0.00,0.23,0.23,0.00,0.23,0.04,0.13,0.17,0.04,0.17
457,Bart Verbruggen,NED,GK,Brighton,22-121,2002,14,14,1260,14.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
458,Jannik Vestergaard,DEN,DF,Leicester City,32-136,1992,8,7,645,7.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,18,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
459,Guglielmo Vicario,ITA,GK,Tottenham,28-071,1996,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
460,Kyle Walker,ENG,DF,Manchester City,34-203,1990,12,9,874,9.7,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,12,63,11,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
461,Kyle Walker-Peters,ENG,DF,Southampton,27-248,1997,14,14,1250,13.9,0,2,2,0,0,0,3,0,0.3,0.3,1.6,1.9,54,61,39,0.00,0.14,0.14,0.00,0.14,0.02,0.12,0.14,0.02,0.14
462,Christian Walton,ENG,GK,Ipswich Town,29-038,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
463,Aaron Wan-Bissaka,ENG,DF,West Ham,27-021,1997,15,14,1264,14.0,2,0,2,2,0,0,0,0,0.6,0.6,0.5,1.1,47,64,61,0.14,0.00,0.14,0.14,0.14,0.05,0.03,0.08,0.05,0.08
464,Danny Ward,WAL,GK,Leicester City,31-178,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
465,James Ward-Prowse,ENG,MF,West Ham,30-046,1994,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
466,James Ward-Prowse,ENG,MF,Nott'ham Forest,30-046,1994,6,5,379,4.2,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,1,16,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05
467,Ollie Watkins,ENG,FW,Aston Villa,28-353,1995,16,14,1126,12.5,7,3,10,6,1,1,0,0,8.7,7.9,1.6,9.5,24,12,79,0.56,0.24,0.80,0.48,0.72,0.70,0.13,0.83,0.63,0.76
468,Adam Webster,ENG,DF,Brighton,29-348,1995,3,2,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
469,Danny Welbeck,ENG,FW,Brighton,34-021,1990,14,13,1112,12.4,6,2,8,6,0,0,1,0,5.6,5.6,0.5,6.1,10,29,46,0.49,0.16,0.65,0.49,0.65,0.45,0.04,0.49,0.45,0.49
470,Timo Werner,GER,"FW,MF",Tottenham,28-286,1996,13,3,400,4.4,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.4,35,22,70,0.00,0.68,0.68,0.00,0.68,0.22,0.55,0.77,0.22,0.77
471,Adam Wharton,ENG,MF,Crystal Palace,20-198,2004,8,8,622,6.9,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,6,61,6,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12
472,Ben White,ENG,DF,Arsenal,27-070,1997,9,7,695,7.7,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.6,4,30,15,0.00,0.13,0.13,0.00,0.13,0.02,0.06,0.07,0.02,0.07
473,Mats Wieffer,NED,MF,Brighton,25-031,1999,12,3,416,4.6,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.8,4,28,8,0.00,0.22,0.22,0.00,0.22,0.06,0.12,0.18,0.06,0.18
474,Neco Williams,WAL,DF,Nott'ham Forest,23-248,2001,13,6,649,7.2,0,0,0,0,0,0,4,0,0.7,0.7,0.3,1.1,17,24,23,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15
475,Joe Willock,ENG,"MF,FW",Newcastle Utd,25-119,1999,13,5,462,5.1,0,1,1,0,0,0,2,0,0.5,0.5,1.1,1.6,16,20,39,0.00,0.19,0.19,0.00,0.19,0.09,0.22,0.32,0.09,0.32
Rk,Player,,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
476,Callum Wilson,ENG,"FW,MF",Newcastle Utd,32-294,1992,4,0,61,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
477,Harry Wilson,WAL,"FW,MF",Fulham,27-270,1997,12,2,337,3.7,3,0,3,3,0,0,2,0,1.5,1.5,0.0,1.5,5,15,34,0.80,0.00,0.80,0.80,0.80,0.40,0.01,0.41,0.40,0.41
478,Harry Winks,ENG,MF,Leicester City,28-319,1996,11,10,865,9.6,0,2,2,0,0,0,3,0,0.2,0.2,1.0,1.2,12,59,8,0.00,0.21,0.21,0.00,0.21,0.02,0.11,0.12,0.02,0.12
479,Yoane Wissa,COD,FW,Brentford,28-105,1996,13,12,957,10.6,9,1,10,9,0,0,1,0,6.3,6.3,0.7,7.0,18,24,56,0.85,0.09,0.94,0.85,0.94,0.59,0.07,0.66,0.59,0.66
480,Chris Wood,NZL,FW,Nott'ham Forest,33-010,1991,16,15,1236,13.7,10,0,10,8,2,2,1,0,6.2,4.6,1.0,5.6,10,12,32,0.73,0.00,0.73,0.58,0.58,0.45,0.07,0.52,0.34,0.41
481,Nathan Wood-Gordon,ENG,DF,Southampton,22-200,2002,3,2,256,2.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
482,Luke Woolfenden,ENG,DF,Ipswich Town,26-057,1998,5,4,378,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
483,Yehor Yarmoliuk,UKR,MF,Brentford,20-291,2004,12,4,396,4.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,19,21,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
484,Ryan Yates,ENG,MF,Nott'ham Forest,27-026,1997,16,12,1191,13.2,1,0,1,1,0,0,4,0,1.7,1.7,0.7,2.4,12,32,10,0.08,0.00,0.08,0.08,0.08,0.13,0.05,0.18,0.13,0.18
485,Leny Yoro,FRA,DF,Manchester Utd,19-034,2005,3,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
486,Ashley Young,ENG,DF,Everton,39-161,1985,13,13,1127,12.5,1,3,4,1,0,0,4,1,0.2,0.2,1.1,1.3,15,72,12,0.08,0.24,0.32,0.08,0.32,0.01,0.09,0.11,0.01,0.11
487,Illia Zabarnyi,UKR,DF,Bournemouth,22-107,2002,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,10,59,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
488,Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,28-002,1996,6,2,238,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,19,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
489,Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23-209,2001,16,5,607,6.7,3,1,4,3,0,0,1,0,3.0,3.0,0.8,3.8,4,20,26,0.44,0.15,0.59,0.44,0.59,0.44,0.12,0.56,0.44,0.56
490,Martin Ødegaard,NOR,MF,Arsenal,26-000,1998,9,9,726,8.1,1,2,3,0,1,1,1,0,2.2,1.4,1.5,2.9,26,81,49,0.12,0.25,0.37,0.00,0.25,0.27,0.19,0.46,0.17,0.36
