,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
422,Kamaldeen Sulemana,GHA,"FW,MF",Southampton,22-306,2002,0.7,0,1,0,0.0,1.41,0.00,0.00,0,14.1,0,0,0,0.0,0.0,0.02,0.0,0.0
423,Crysencio Summerville,NED,"FW,MF",West Ham,23-048,2001,6.7,1,9,3,33.3,1.33,0.44,0.11,0.33,13.2,0,0,0,1.3,1.3,0.14,-0.3,-0.3
424,Sammie Szmodics,IRL,FW,Ipswich Town,29-084,1995,8.3,3,17,10,58.8,2.05,1.21,0.18,0.30,13.9,0,0,0,2.9,2.9,0.17,+0.1,+0.1
425,Dominik Szoboszlai,HUN,MF,Liverpool,24-053,2000,11.4,1,20,7,35.0,1.75,0.61,0.05,0.14,20.7,1,0,0,1.9,1.9,0.10,-0.9,-0.9
426,James Tarkowski,ENG,DF,Everton,32-028,1992,14.9,0,9,2,22.2,0.60,0.13,0.00,0.00,8.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7
427,Marcus Tavernier,ENG,"FW,MF",Bournemouth,25-270,1999,12.7,1,32,9,28.1,2.53,0.71,0.03,0.11,19.9,2,0,0,4.1,4.1,0.13,-3.1,-3.1
428,Charlie Taylor,ENG,DF,Southampton,31-090,1993,2.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
429,Jack Taylor,IRL,MF,Ipswich Town,26-177,1998,3.4,1,11,4,36.4,3.22,1.17,0.09,0.25,23.2,0,0,0,0.5,0.5,0.05,+0.5,+0.5
430,Kenny Tete,NED,DF,Fulham,29-069,1995,14.0,0,18,2,11.1,1.28,0.14,0.00,0.00,16.4,0,0,0,1.0,1.0,0.06,-1.0,-1.0
431,Thiago,BRA,FW,Brentford,23-174,2001,1.5,0,1,0,0.0,0.68,0.00,0.00,0,14.7,0,0,0,0.1,0.1,0.10,-0.1,-0.1
432,Luke Thomas,ENG,DF,Leicester City,23-190,2001,1.0,0,1,0,0.0,1.00,0.00,0.00,0,21.5,0,0,0,0.0,0.0,0.02,0.0,0.0
433,Youri Tielemans,BEL,MF,Aston Villa,27-224,1997,15.3,0,10,2,20.0,0.66,0.13,0.00,0.00,24.6,0,0,1,1.4,0.6,0.06,-1.4,-0.6
434,Jurriën Timber,NED,DF,Arsenal,23-183,2001,12.6,1,10,2,20.0,0.80,0.16,0.10,0.50,15.0,0,0,0,0.7,0.7,0.07,+0.3,+0.3
435,Jean-Clair Todibo,FRA,DF,West Ham,24-353,1999,7.2,0,2,0,0.0,0.28,0.00,0.00,0,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
436,Harry Toffolo,ENG,DF,Nott'ham Forest,29-120,1995,0.4,0,1,0,0.0,2.43,0.00,0.00,0,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0
437,Takehiro Tomiyasu,JPN,DF,Arsenal,26-042,1998,0.1,0,1,0,0.0,12.86,0.00,0.00,0,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2
438,Sandro Tonali,ITA,MF,Newcastle Utd,24-223,2000,8.2,0,11,4,36.4,1.34,0.49,0.00,0.00,15.7,2,0,0,1.2,1.2,0.11,-1.2,-1.2
